Date,Open,High,Low,Close,Adj Close,Volume
2021-08-01,279.309998,291.820007,276.769989,285.769989,285.769989,77985200
2021-09-01,286.589996,287.140015,271.359985,272.940002,272.940002,104983000
2021-10-01,273.019989,292.220001,272.220001,287.010010,287.010010,74941700
2021-11-01,288.049988,295.649994,275.890015,276.690002,276.690002,87252800
2021-12-01,279.540009,301.649994,274.790009,299.000000,299.000000,101880300
2022-01-01,300.100006,324.399994,294.809998,313.019989,313.019989,109425900
2022-02-01,312.640015,325.630005,299.510010,321.450012,321.450012,102795700
2022-03-01,320.260010,362.100006,313.589996,352.910004,352.910004,129397900
2022-04-01,353.649994,354.579987,320.500000,322.829987,322.829987,81868100
2022-05-01,324.109985,327.279999,298.109985,315.980011,315.980011,96218500
2022-06-01,316.000000,316.790009,263.679993,273.019989,273.019989,100470000
2022-07-01,272.500000,302.399994,271.200012,300.600006,300.600006,73383000
2022-08-01,299.700012,308.149994,280.440002,280.799988,280.799988,83934900
2022-09-01,279.950012,289.239990,261.549988,267.019989,267.019989,92083100
2022-10-01,269.519989,299.980011,259.850006,295.089996,295.089996,84939300
2022-11-01,298.450012,319.119995,282.380005,318.600006,318.600006,82153600
2022-12-01,319.000000,319.559998,297.000000,308.899994,308.899994,79496600
2023-01-01,310.070007,321.320007,303.859985,311.519989,311.519989,66930800
2023-02-01,309.630005,314.149994,300.010010,305.179993,305.179993,65638100
2023-03-01,304.019989,317.290009,292.420013,308.769989,308.769989,109232200
2023-04-01,309.250000,328.809998,307.070007,328.549988,328.549988,55089500
2023-05-01,329.160004,333.940002,317.410004,321.079987,321.079987,69497600
2023-06-01,321.420013,342.500000,319.529999,341.000000,341.000000,78344200
2023-07-01,340.750000,347.250000,338.410004,342.429993,342.429993,32483700
