Periodo;IPSA
ago.2018;5.270,44
sept.2018;5.283,53
oct.2018;5.104,33
nov.2018;5.111,88
dic.2018;5.105,43
ene.2019;5.405,61
feb.2019;5.287,54
mar.2019;5.259,41
abr.2019;5.187,10
may.2019;4.977,09
jun.2019;5.070,72
jul.2019;4.972,36
ago.2019;4.804,37
sept.2019;5.059,04
oct.2019;4.744,13
nov.2019;4.538,80
dic.2019;4.669,85
ene.2020;4.572,06
feb.2020;4.122,63
mar.2020;3.487,49
abr.2020;3.977,56
may.2020;3.647,60
jun.2020;3.959,02
jul.2020;4.017,08
ago.2020;3.767,15
sept.2020;3.637,30
oct.2020;3.539,92
nov.2020;4.032,87
dic.2020;4.177,22
ene.2021;4.288,65
feb.2021;4.573,37
mar.2021;4.898,09
abr.2021;4.472,84
may.2021;4.356,43
jun.2021;4.331,33
jul.2021;4.252,04
ago.2021;4.491,57
sept.2021;4.362,59
oct.2021;4.092,20
nov.2021;4.432,71
dic.2021;4.308,38
ene.2022;4.548,45
feb.2022;4.534,47
mar.2022;4.936,97
abr.2022;4.778,43
may.2022;5.350,48
jun.2022;4.950,39
jul.2022;5.259,05
ago.2022;5.441,26
sept.2022;5.114,19
oct.2022;5.193,81
nov.2022;5.282,61
dic.2022;5.261,91
ene.2023;5.322,39
feb.2023;5.394,90
mar.2023;5.324,62
abr.2023;5.416,09
may.2023;5.471,54
jun.2023;5.786,80
