Periodo;IPSA Retorno
ago.2018;-0,03018
sept.2018;0,00248
oct.2018;-0,03392
nov.2018;0,00148
dic.2018;-0,00126
ene.2019;0,05880
feb.2019;-0,02184
mar.2019;-0,00532
abr.2019;-0,01375
may.2019;-0,04049
jun.2019;0,01881
jul.2019;-0,01940
ago.2019;-0,03378
sept.2019;0,05301
oct.2019;-0,06225
nov.2019;-0,04328
dic.2019;0,02887
ene.2020;-0,02094
feb.2020;-0,09830
mar.2020;-0,15406
abr.2020;0,14052
may.2020;-0,08296
jun.2020;0,08538
jul.2020;0,01467
ago.2020;-0,06222
sept.2020;-0,03447
oct.2020;-0,02677
nov.2020;0,13925
dic.2020;0,03579
ene.2021;0,02668
feb.2021;0,06639
mar.2021;0,07100
abr.2021;-0,08682
may.2021;-0,02603
jun.2021;-0,00576
jul.2021;-0,01831
ago.2021;0,05633
sept.2021;-0,02872
oct.2021;-0,06198
nov.2021;0,08321
dic.2021;-0,02805
ene.2022;0,05572
feb.2022;-0,00307
mar.2022;0,08876
abr.2022;-0,03211
may.2022;0,11972
jun.2022;-0,07478
jul.2022;0,06235
ago.2022;0,03465
sept.2022;-0,06011
oct.2022;0,01557
nov.2022;0,01710
dic.2022;-0,00392
ene.2023;0,01149
feb.2023;0,01362
mar.2023;-0,01303
abr.2023;0,01718
may.2023;0,01024
jun.2023;0,05762
